experiment,label_frac,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,cm_TN,cm_FP,cm_FN,cm_TP,freeze_encoder,trainable_params,train_total_sec,test_total_sec,wall_clock_sec,test_fps,device
CNN_scratch,0.05,0.594,0.6951,0.5911,0.53,0.6131,2139,7293,427,9157,False,389410,24.7,25.5,150.5,745.4,cuda
CNN_scratch,0.10,0.5678,0.5844,0.566,0.5419,0.593,3138,6294,1924,7660,False,389410,31.0,24.6,156.4,771.6,cuda
CNN_scratch,0.25,0.549,0.5575,0.5473,0.5271,0.5594,3174,6258,2319,7265,False,389410,50.6,24.9,175.5,762.6,cuda
CNN_scratch,0.50,0.5507,0.5837,0.5481,0.4958,0.5332,2099,7333,1210,8374,False,389410,82.2,25.2,208.0,755.2,cuda
CNN_scratch,1.00,0.5679,0.5966,0.5657,0.5292,0.573,2672,6760,1456,8128,False,389410,144.4,25.0,271.4,759.5,cuda
ConvMAE,0.05,0.5014,0.4133,0.4974,0.3382,0.573,46,9386,96,9488,True,514,24.7,25.5,153.7,745.7,cuda
ConvMAE,0.10,0.5043,0.7521,0.5003,0.3358,0.6315,6,9426,0,9584,True,514,31.5,25.4,159.6,747.2,cuda
ConvMAE,0.25,0.5054,0.7524,0.5014,0.3383,0.6971,27,9405,0,9584,True,514,50.7,25.3,178.8,752.4,cuda
ConvMAE,0.50,0.506,0.7525,0.502,0.3396,0.6615,38,9394,0,9584,True,514,82.3,25.5,210.1,744.4,cuda
ConvMAE,1.00,0.5042,0.752,0.5002,0.3355,0.6736,3,9429,0,9584,True,514,147.8,25.6,277.1,744.0,cuda
ConvMAE_mask25,1.00,0.5696,0.6549,0.5666,0.4963,0.5961,1789,7643,541,9043,False,389410,133.9,24.5,252.6,776.1,cuda
ConvMAE_mask50,1.00,0.5561,0.64,0.553,0.4724,0.5912,1501,7931,510,9074,False,389410,147.8,25.9,276.3,733.4,cuda
MAE_finetune,0.05,0.5531,0.7164,0.5496,0.4439,0.6392,1046,8386,113,9471,False,389410,27.1,28.1,171.7,676.6,cuda
MAE_finetune,0.10,0.5759,0.6277,0.5733,0.5239,0.6227,2334,7098,967,8617,False,389410,33.5,27.1,172.3,700.7,cuda
MAE_finetune,0.25,0.5246,0.7097,0.5208,0.3833,0.686,437,8995,46,9538,False,389410,54.6,30.7,197.8,619.7,cuda
MAE_finetune,0.50,0.5721,0.7108,0.5689,0.4835,0.6787,1501,7931,205,9379,False,389410,87.3,26.5,221.9,717.5,cuda
MAE_finetune,1.00,0.5908,0.645,0.5883,0.5453,0.6806,2608,6824,957,8627,False,389410,152.2,26.6,286.5,715.3,cuda
MAE_frozen,0.05,0.5014,0.4133,0.4974,0.3382,0.573,46,9386,96,9488,True,514,25.1,26.1,155.4,729.6,cuda
MAE_frozen,0.10,0.5043,0.7521,0.5003,0.3358,0.6315,6,9426,0,9584,True,514,32.5,26.1,165.7,728.5,cuda
MAE_frozen,0.25,0.5054,0.7524,0.5014,0.3383,0.6971,27,9405,0,9584,True,514,52.0,26.2,185.4,724.8,cuda
MAE_frozen,0.50,0.506,0.7525,0.502,0.3396,0.6615,38,9394,0,9584,True,514,85.9,26.3,218.5,722.2,cuda
MAE_frozen,1.00,0.5042,0.752,0.5002,0.3355,0.6736,3,9429,0,9584,True,514,153.3,26.1,285.7,727.8,cuda
SimCLR,0.05,0.5592,0.7644,0.5556,0.4483,0.6202,1054,8378,5,9579,True,514,24.8,25.7,153.3,741.1,cuda
SimCLR,0.10,0.6003,0.7149,0.5973,0.5353,0.5851,2153,7279,322,9262,True,514,31.0,25.5,160.3,746.4,cuda
SimCLR,0.25,0.5881,0.6592,0.5854,0.5327,0.5802,2318,7114,718,8866,True,514,50.9,25.2,178.3,753.8,cuda
SimCLR,0.50,0.5693,0.6053,0.5668,0.5247,0.5895,2501,6931,1260,8324,True,514,82.1,25.4,210.6,750.1,cuda
SimCLR,1.00,0.6007,0.7145,0.5977,0.5361,0.6118,2165,7267,327,9257,True,514,146.9,25.4,276.6,749.6,cuda
SimCLR_finetune,0.05,0.5744,0.5744,0.5743,0.5742,0.6233,5255,4177,3916,5668,False,389410,24.5,26.5,147.9,716.7,cuda
SimCLR_finetune,0.10,0.556,0.5618,0.5571,0.5477,0.6175,6567,2865,5579,4005,False,389410,31.6,25.3,159.5,752.6,cuda
SimCLR_finetune,0.25,0.5738,0.7274,0.5705,0.4828,0.6622,1468,7964,141,9443,False,389410,50.9,24.6,178.5,772.2,cuda
SimCLR_finetune,0.50,0.6039,0.6409,0.6018,0.5734,0.648,3199,6233,1299,8285,False,389410,88.0,23.9,219.3,796.6,cuda
SimCLR_finetune,1.00,0.5827,0.5938,0.5813,0.5676,0.6146,3765,5667,2268,7316,False,389410,152.4,27.1,289.4,700.7,cuda
SimCLR_full,1.00,0.5922,0.7184,0.5892,0.5197,0.665,1936,7496,258,9326,False,389410,147.5,25.4,274.7,748.6,cuda
SimCLR_minimal,1.00,0.5571,0.6925,0.5537,0.4574,0.7019,1221,8211,212,9372,False,389410,201.6,28.7,369.6,661.8,cuda
SimCLR_no_color,1.00,0.6726,0.6959,0.6712,0.6614,0.7438,4669,4763,1463,8121,False,389410,144.5,25.0,270.6,759.2,cuda
